Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.medication.json	30931	-	0	0	0	0	0	0	6	70	0	0	1	0	0	0	0	1	0	0	187	249	0	0	0	11	0	2
fsh-generated/resources/CodeSystem-FrEditorialStatus.json	1091	5	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	2170	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-FrMedicationHistorySourceType.json	2631	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	26	93	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-FrMedicationReconciliationDiscrepancy.json	2750	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	66	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-FrMedicationReconciliationOutcome.json	2161	4	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	21	63	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-FrMedicationReconciliationResolution.json	1718	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	16	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-FrMedicationReconciliationStatus.json	2383	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	21	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-FrMedicationReconciliationType.json	1501	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-document-type.json	6919	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	36	63	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medication-ingredient-strength-codes.json	1014	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	25	47	0	0	0	1	0	0
fsh-generated/resources/MedicationDispense-14657.json	3576	6	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	20	40	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14658.json	4046	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	20	26	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14661.json	3565	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14662.json	3545	5	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14663.json	3565	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14664.json	3573	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	22	38	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14665.json	3267	4	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	73	42	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14618.json	2424	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14619.json	3455	4	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	18	23	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14620.json	3049	4	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14621.json	3523	4	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14622.json	3487	5	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14624.json	3009	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14625.json	3680	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14626.json	3360	5	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14627.json	3297	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14628.json	3557	5	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	1
fsh-generated/resources/MedicationRequest-14629.json	3547	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14630.json	4981	5	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14631.json	5016	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	30	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14637.json	7115	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	29	14	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14637u.json	7112	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	28	14	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-14638.json	7126	5	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	35	13	0	0	0	0	0	0
