Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.medication.json	47189	-	0	0	0	0	0	0	6	265	0	0	1	0	0	0	0	1	0	0	160	243	0	0	0	10	0	2
fsh-generated/resources/Bundle-Presc-BISOPROLOL-SANDOZ-DosesRationnelles.json	3970	23	30	0	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	0	18	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Betamethasone-ApplCut.json	3008	31	12	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	20	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CLARADOL-DoseDiffParHoraire.json	3267	24	13	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	15	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CLARADOL-SiDouleur-MaxPrise-DelaisMin.json	3460	23	15	0	0	0	0	0	1	113	0	0	0	0	0	0	0	0	0	0	14	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CLARADOL-TL6h-MedCodeableConcept.json	2314	24	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CLARADOL-TLMardisVendredis.json	2416	24	13	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CODOLIPRANE-MedCodeableConcept.json	2713	23	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Capecitabine-Dose-Calculee.json	3632	23	13	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-DIPROSONE-AppCut.json	4085	24	15	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	24	0	0	0	0	0	1
fsh-generated/resources/Bundle-Presc-DOLIPRANE-20DoseParKG.json	4156	23	12	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	15	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-EFFERALGAN.json	4087	24	13	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	22	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Fentanyl-patch72h-TL3j.json	3964	23	13	0	0	0	0	0	0	218	0	0	0	0	0	0	0	1	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-MATRIFEN-patch-TL72h.json	4408	24	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	59	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-MV-PerfGl-NaCl-KCl.json	5453	23	12	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	26	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Methylpredinosolone-DosesEvolutives.json	4507	24	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	22	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-MiniperfCefotaxime-En20min-Pdt3j.json	5960	24	13	0	0	0	0	0	1	114	0	0	0	0	0	0	0	0	0	0	22	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-MiniperfCefotaxime-En20min-Pdt4j.json	5728	31	15	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-NICOREETESKIN-patch.json	4380	31	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Nicotine-15mgPar16h.json	2927	31	12	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Paracetamol-DoseEvolutive.json	3609	31	12	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Paracetamol-SiDouleur-MaxPrise-DelaisMin.json	3817	31	12	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Paracetamol-TL6h.json	2621	23	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Paracetamol.json	2636	22	13	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-ParacetamolCodeine-500mg30mg.json	3946	31	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-PerfDobutamine-Qsp40mL.json	6011	32	12	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	21	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-PerfGl-NaCl-KCl-1l.json	7087	23	12	0	0	0	0	0	1	116	0	0	0	0	0	0	0	0	0	0	22	23	0	0	0	0	0	1
fsh-generated/resources/Bundle-Presc-PerfGl-NaCl-KCl-500ml.json	6842	24	16	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	24	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-SolPrPerf-BIONOLYTE-G5-500mL-Sur12h.json	6088	24	12	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	18	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-DOLIPRANE-Interpret.json	3973	23	13	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	16	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-DOLIPRANE.json	4114	24	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-Paracetamol-SiDouleur.json	9331	24	21	0	0	0	0	0	1	560	0	0	0	0	0	0	0	0	0	0	27	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-Paracetamol.json	9492	24	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	22	0	0	0	0	0	0
