URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medication-ingredientstrength,5.0.0,active,,MedicationIngredientStrengthCodes,Medication Ingredient Strength Codes,"Medication Ingredient Strength Codes","ValueSet/medication-ingredient-strength-codes"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/fr-treatment-intent"
http://standardterms.edqm.eu,5 February 2025,active,"0.4.0.127.0.16.1.1.2.1",EDQM_Standard_Terms,EDQM Standard Terms,"Standard terms published by the European Directorate for the Quality of Medicines & HealthCare (EDQM) for pharmaceutical dose forms, routes and methods of administration, containers, closures, administration devices and units of presentation.","ValueSet/fr-mp-dose-form,ValueSet/fr-route-of-administration,ValueSet/FrMethodOfAdministration"
http://terminology.hl7.org/CodeSystem/medicationknowledge-characteristic,4.0.1,draft,"2.16.840.1.113883.4.642.4.1338",medicationKnowledge Characteristic Codes,Medication knowledge  characteristic  codes,"MedicationKnowledge Characteristic Codes","ValueSet/medicationknowledge-characteristic"
https://hl7.fr/ig/fhir/medication/CodeSystem/fr-document-type,0.1.0,draft,,FrDocumentType,code system Interop'Santé - Type de document d'une ressource Composition du domaine Pharmacy,"Le système de codage SIPh du type de document d'une ressource *Composition* du domaine Pharmacy","ValueSet/fr-current-medication-document-type,ValueSet/fr-medication-reconciliation-document-type"
https://hl7.fr/ig/fhir/medication/CodeSystem/fr-editorial-status,0.1.0,draft,,FrEditorialStatus,code system Interop'Santé - Statut éditorial d'une valeur,"Le système de codage du statut éditorial d'une valeur.","ValueSet/fr-editorial-status"
https://hl7.fr/ig/fhir/medication/CodeSystem/fr-medication-history-source-type,0.1.0,draft,,FRMedicationHistorySourceType,code system Interop'Santé - Nature des sources d'un Bilan Médicamenteux,"Le système de codage des sources d'un Bilan Médicamenteux.","ValueSet/fr-medication-history-source-type"
https://hl7.fr/ig/fhir/medication/CodeSystem/fr-medication-reconciliation-discrepancy,0.1.0,draft,,FRMedicationReconciliationDiscrepancy,code system Interop'Santé - divergence identifiée sur une ligne de traitement d'une FCT,"Le système de codage de la divergence identifiée sur une ligne de traitement d'une FCT (Fiche de Conciliation des Traitements médicamenteux).","ValueSet/fr-medication-reconciliation-qualified-discrepancy"
https://hl7.fr/ig/fhir/medication/CodeSystem/fr-medication-reconciliation-outcome,0.1.0,draft,,FRMedicationReconciliationOutcome,code system Interop'Santé - Gravité de l'erreur sur une ligne de traitement d'une FCT,"Le système de codage de la gravité de l'erreur sur une ligne de traitement d'une FCT (Fiche de Conciliation des Traitements médicamenteux).","ValueSet/fr-medication-reconciliation-outcome"
https://hl7.fr/ig/fhir/medication/CodeSystem/fr-medication-reconciliation-resolution,0.1.0,draft,,FRMedicationReconciliationResolution,code system Interop'Santé - Résolution d'une divergence sur une ligne de traitement d'une FCT,"Le système de codage de la résolution d'une divergence sur une ligne de traitement d'une FCT (Fiche de Conciliation des Traitements médicamenteux).","ValueSet/fr-medication-reconciliation-resolution"
https://hl7.fr/ig/fhir/medication/CodeSystem/fr-medication-reconciliation-status,0.1.0,draft,,FRMedicationReconciliationStatus,code system Interop'Santé - Statut d'une ligne de traitement d'une FCT,"Le système de codage du statut d'une ligne de traitement d'une FCT (Fiche de Conciliation des Traitements médicamenteux).","ValueSet/fr-medication-reconciliation-status"
https://hl7.fr/ig/fhir/medication/CodeSystem/fr-medication-reconciliation-type,0.1.0,draft,,FRMedicationReconciliationType,code system Interop'Santé - Type d'écart/erreur sur une ligne de traitement d'une FCT,"Le système de codage du type d'écart/erreur sur une ligne de traitement d'une FCT (Fiche de Conciliation des Traitements médicamenteux).","ValueSet/fr-medication-reconciliation-type"
