Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.medication.json	26593	-	0	0	0	0	0	0	20	71	0	0	0	0	1	0	0	1	0	0	109	253	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-fr-document-type.json	6919	4	0	0	2	0	1	0	2	15	0	0	0	0	0	0	0	0	0	0	24	104	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-fr-editorial-status.json	806	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	49	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-history-source-type.json	2348	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	79	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-discrepancy.json	2466	1	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	11	61	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-outcome.json	1877	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-resolution.json	1456	1	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	8	45	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-status.json	2109	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-type.json	1217	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	7	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medication-ingredient-strength-codes.json	1014	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	28	0	0	0	1	0	0
fsh-generated/resources/Group-InLine-patient-group-01.json	349	2	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	0	0
fsh-generated/resources/Medication-InLine-DOLIPRANE.json	1177	1	0	0	0	0	0	0	1	360	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/Medication-InLine-med-EFFERALGAN.json	1190	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/Medication-InLine-med-Paracetamol.json	405	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Disp-DOLIPRANE-Refill-Compl-presc-DC.json	2196	1	0	0	0	0	0	0	0	1727	0	0	0	0	0	0	0	0	0	0	8	32	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Disp-DOLIPRANE-Refill-Substit.json	2208	2	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Disp-DOLIPRANE-Refill-presc-DC.json	2209	2	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Disp-EFFERALGAN-presc-DC.json	2214	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Disp-EFFERALGAN.json	2214	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Disp-group01-1.json	1852	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-Disp-group01-2.json	1546	1	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	1	0	0	8	25	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-InLine-Presc-EFFERALGAN.json	1759	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	20	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-InLine-presc-EFFERALGAN2.json	1624	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-InLine-presc-Paracetamol1.json	1654	1	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-InLine-presc-Paracetamol2.json	1588	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	0	0
fsh-generated/resources/Observation-InLine-Observation-poids-Avion.json	781	2	0	0	0	0	0	0	1	404	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0
fsh-generated/resources/Observation-InLine-observation-taille-Avion.json	781	1	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Patient-InLine-patient-Avion.json	752	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-InLine-practitioner-Luiggi.json	696	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-FrRangeMedication.json	1843	1	0	17	0	0	0	0	0	52	0	0	1	0	0	0	0	0	0	0	42	553	0	0	0	1	0	0
