URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/CodeSystem/medication-ingredientstrength,0.1.0,draft,"2.16.840.1.113883.4.642.1.1427",Medication_Ingredient_Strength_Codes,null,"","ValueSet/medication-ingredient-strength-codes"
http://hl7.org/fhir/CodeSystem/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1379",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-statement-status"
http://hl7.org/fhir/CodeSystem/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1380",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-status"
http://hl7.org/fhir/CodeSystem/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1378",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","ValueSet/medicationrequest-intent"
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/medicationrequest-status"
http://hl7.org/fhir/composition-attestation-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.239",CompositionAttestationMode,CompositionAttestationMode,"The way in which a person authenticated a composition.","ValueSet/composition-attestation-mode"
http://hl7.org/fhir/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.242",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.245",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","ValueSet/document-relationship-type"
http://hl7.org/fhir/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.319",ListMode,ListMode,"The processing mode that applies to this list.","ValueSet/list-mode"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://interopsante.org/fhir/CodeSystem/fr-editorial-status,0.1.0,draft,,FrEditorialStatus,code system Interop'Santé - Statut éditorial d'une valeur,"Le système de codage du statut éditorial d'une valeur.","ValueSet/FrEditorialStatus"
http://interopsante.org/fhir/CodeSystem/fr-medication-history-source-type,0.1.0,draft,,FrMedicationHistorySourceType,code system Interop'Santé - Nature des sources d'un Bilan Médicamenteux,"Le système de codage des sources d'un Bilan Médicamenteux.","ValueSet/FrMedicationHistorySourceType"
http://interopsante.org/fhir/CodeSystem/fr-medication-reconciliation-discrepancy,0.1.0,draft,,FrMedicationReconciliationDiscrepancy,code system Interop'Santé - divergence identifiée sur une ligne de traitement d'une FCT,"Le système de codage de la divergence identifiée sur une ligne de traitement d'une FCT (Fiche de Conciliation des Traitements médicamenteux).","ValueSet/FrMedicationReconciliationQualifiedDiscrepancy"
http://interopsante.org/fhir/CodeSystem/fr-medication-reconciliation-resolution,0.1.0,draft,,FrMedicationReconciliationResolution,code system InterOp'Santé - Résolution d'une divergence sur une ligne de traitement d'une FCT,"Le système de codage de la résolution d'une divergence sur une ligne de traitement d'une FCT (Fiche de Conciliation des Traitements médicamenteux).","ValueSet/FrMedicationReconciliationResolution"
http://interopsante.org/fhir/CodeSystem/fr-medication-reconciliation-type,0.1.0,draft,,FrMedicationReconciliationType,code system InterOp'Santé - Type d'écart/erreur sur une ligne de traitement d'une FCT,"Le système de codage du type d'écart/erreur sur une ligne de traitement d'une FCT (Fiche de Conciliation des Traitements médicamenteux).","ValueSet/FrMedicationReconciliationType"
