Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.medication.json	64022	-	0	0	0	0	0	0	17	92	0	0	1	0	0	0	0	1	0	0	240	249	0	0	0	11	0	2
fsh-generated/resources/Bundle-HAS-1-Presc-Pantoprazole-DC.json	3325	8	18	0	0	0	0	0	1	547	0	0	0	0	0	0	0	0	0	0	18	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-1-Presc-Pantoprazole-MV.json	2043	8	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-10-Presc-Methotrexate.json	2184	8	4	0	0	0	0	0	0	755	0	0	0	0	0	0	0	0	0	0	12	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-11-1-Presc-VitamineD.json	2248	5	3	0	0	0	0	0	1	251	0	0	0	0	0	0	0	0	0	0	12	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-11-2-Presc-EVRA.json	2728	11	3	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-12-1-Presc-BEPANTHEN.json	2168	6	3	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-12-2-Presc-Methotrexate.json	2162	7	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	13	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-12-3-Presc-Enoxaparine.json	3950	5	4	0	0	0	0	0	1	811	0	0	0	0	0	0	0	0	0	0	21	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-13-Presc-Desloratadine.json	2250	6	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-14-1-Presc-CODOLIPRANE.json	3205	5	5	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	13	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-14-2-Presc-Betamethasone.json	2739	5	5	0	0	0	0	0	1	254	0	0	0	0	0	0	0	0	0	0	13	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-15-Presc-Morphine.json	2443	4	3	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-16-Presc-Racecadotril.json	2398	5	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-17-Presc-Budesonide-MV.json	5583	5	3	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	22	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-17-Presc-Budesonide.json	4198	5	4	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-18-Presc-Budesonide-MV.json	4166	5	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-19-Presc-Paracetamol.json	2576	4	4	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	12	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-2-Presc-Fluindione.json	2098	5	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-20-Presc-Hydrocortisone.json	2533	5	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-21-Presc-Prednisolone.json	5415	4	6	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-22-Presc-Prednisolone.json	5415	5	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-23-1-Presc-Fluindione.json	3473	5	3	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-23-2-Presc-Amiodarone.json	2463	5	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-24-Topiramate.json	2315	5	2	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-25-NOVORAPID.json	3541	4	3	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-26-Diazepam.json	2436	5	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-27-1-Metformine.json	2206	4	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-27-2-Rifampicine.json	2135	5	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-28-Presc-Enoxaparine.json	5363	5	2	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	16	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-29-Presc-Enoxaparine.json	3950	5	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	0	0	1
fsh-generated/resources/Bundle-HAS-3-Presc-Tinzaparine.json	4091	4	6	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-30-1-Presc-Hydrocortisone.json	5179	5	6	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-30-2-Presc-Cetirizine.json	2279	5	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-4-1-Presc-Paracetamol.json	2725	4	3	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-4-2-Presc-DAFALGANCODEINE.json	3552	5	3	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-5-1-Presc-Fluindione.json	2206	5	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-5-2-Presc-ACTISKENAN.json	2377	5	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-6-1-Presc-Methotrexate.json	2200	4	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-6-2-Presc-Methotrexate.json	2178	5	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-7-Presc-Paracetamol.json	2614	4	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-8-1-Presc-Betamethasone.json	2242	5	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-8-2-Presc-Paracetamol.json	2375	4	2	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-9-Presc-Ropinirole.json	2125	5	3	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-MultiLine-Presc-MARSILID-ZOMIGORO.json	4877	5	6	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-MultiLine-Presc-METFORMINE-GLICLAZIDE.json	5997	5	3	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	18	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-MultiLine-Presc-METHOTREXATE-LEDERFOLINE.json	5792	5	3	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	19	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-MultiLine-Presc-Sucralfate-Paracetamol.json	6311	7	3	0	0	0	0	0	1	265	0	0	0	0	0	0	0	1	0	0	18	35	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-BISOPROLOL-SANDOZ-DosesRationnelles.json	4165	9	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Betamethasone-ApplCut.json	3203	4	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CLARADOL-DoseDiffParHoraire.json	3367	5	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	12	0	0	1	0	0	0
fsh-generated/resources/Bundle-Presc-CLARADOL-SiDouleur-MaxPrise-DelaisMin.json	3557	5	2	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CLARADOL-TL6h-MedCodeableConcept.json	2414	5	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CLARADOL-TLMardisVendredis.json	2516	5	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-CODOLIPRANE-MedCodeableConcept.json	2813	5	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Capecitabine-Dose-Calculee.json	3827	5	3	0	0	0	0	0	1	280	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-DIPROSONE-AppCut.json	4280	7	4	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-DOLIPRANE-20DoseParKG.json	4351	5	2	0	0	0	0	0	0	502	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-EFFERALGAN.json	4282	4	3	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Fentanyl-patch72h-TL3j.json	4159	5	2	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-MATRIFEN-patch-TL72h.json	4603	5	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-MV-PerfGl-NaCl-KCl.json	5648	5	3	0	0	0	0	0	1	247	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Methylpredinosolone-DosesEvolutives.json	4702	5	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-MiniperfCefotaxime-En20min-Pdt3j.json	6342	4	2	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	2
fsh-generated/resources/Bundle-Presc-MiniperfCefotaxime-En20min-Pdt4j.json	6110	6	3	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-NICOREETESKIN-patch.json	4575	6	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Nicotine-15mgPar16h.json	3122	5	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Paracetamol-DoseEvolutive.json	3804	6	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Paracetamol-SiDouleur-MaxPrise-DelaisMin.json	4012	4	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Paracetamol-TL6h.json	2816	7	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-Paracetamol.json	2831	5	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-ParacetamolCodeine-500mg30mg.json	4138	5	2	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-PerfDobutamine-Qsp40mL.json	6393	4	3	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	20	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-PerfGl-NaCl-KCl-1l.json	7564	5	3	0	0	0	0	0	1	249	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-PerfGl-NaCl-KCl-500ml.json	7319	5	3	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-Presc-SolPrPerf-BIONOLYTE-G5-500mL-Sur12h.json	6283	5	3	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-MultiLine-Presc-Alt-METFORMINE-GLICLAZIDE.json	12694	5	9	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	30	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-DOLIPRANE-Interpret.json	4168	5	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-DOLIPRANE.json	4309	4	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	1
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-Morphine-PCA.json	7857	5	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	28	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-Paracetamol-SiDouleur.json	9533	6	7	0	0	0	0	0	0	1059	0	0	0	0	0	0	0	0	0	0	25	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-Paracetamol.json	9694	5	4	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	25	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-TradPN13FHIR-Presc-perfusion-6-composants.json	16201	5	4	0	0	0	0	0	1	831	0	0	0	0	0	0	0	0	0	0	42	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-additional-action-relationship-type.json	976	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	2501	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-additional-when-codes.json	3055	5	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	18	80	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-document-type.json	6919	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	22	77	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-editorial-status.json	806	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	50	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-history-source-type.json	2348	5	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	16	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-discrepancy.json	2466	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-outcome.json	1877	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	44	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-resolution.json	1456	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	40	0	0	0	0	0	0
