Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.medication.json	47841	-	0	0	0	0	0	0	8	243	0	0	1	0	0	0	0	1	0	0	199	243	0	0	0	8	0	1
fsh-generated/resources/Bundle-Bundle-Exemple-01-34-01-Interpret.json	3391	5	0	0	0	0	16	0	1	677	0	0	0	0	0	0	0	0	0	0	20	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-Bundle-Exemple-01-34-01.json	3564	5	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-Compound-6166.json	13740	9	0	0	0	0	17	0	0	948	0	0	0	0	0	0	0	0	0	0	46	37	0	0	0	0	0	1
fsh-generated/resources/Bundle-bundle-DC-2.json	7924	6	0	0	0	0	3	0	1	210	0	0	0	0	0	0	0	0	0	0	26	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-UCD-2.json	8162	5	0	0	0	0	3	0	1	6	0	0	0	0	0	0	0	0	0	0	27	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-UCD-2Bis.json	8234	3	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	26	19	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-fr-additional-when-codes.json	3055	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	1	0	0	23	2634	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-document-type.json	6919	2	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	30	83	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-editorial-status.json	806	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-history-source-type.json	2348	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-discrepancy.json	2466	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	48	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-outcome.json	1877	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-resolution.json	1456	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-status.json	2109	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-type.json	1217	2	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	11	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-note-scope-codes.json	1272	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-uf-role-codes.json	856	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medication-ingredient-strength-codes.json	1014	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	37	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-gender-conceptmap.json	1919	2	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	15	33	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-observation-conceptmap.json	18330	3	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	64	45	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-dosageinstruction-conceptmap.json	163039	10	0	0	0	0	0	0	13	280	0	0	0	0	0	0	0	2	0	0	315	153	0	0	0	10	0	2
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-encounter-conceptmap.json	1654	3	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-medicationComp-conceptmap.json	3105	2	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-medicationnoncompound-conceptmap.json	24973	3	0	0	0	0	0	0	1	131	0	0	0	0	0	0	0	0	0	0	66	33	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-medicationrequest-conceptmap.json	37944	4	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	107	42	0	0	0	3	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-patient-avec-INS-conceptmap.json	9658	3	1	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	40	25	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-patient-id-seul-conceptmap.json	1550	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-patient-sans-INS-conceptmap.json	7353	3	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	24	23	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-practitioner-id-seul-conceptmap.json	1506	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-practitioner-identite-conceptmap.json	4946	2	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	27	18	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14657.json	3580	3	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14658.json	4051	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14661.json	3570	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	1
fsh-generated/resources/MedicationDispense-14662.json	3550	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14663.json	3570	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14664.json	3566	2	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-14665.json	3260	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0
