Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.medication.json	40599	-	0	0	0	0	0	0	7	222	0	0	0	0	0	0	0	1	0	0	190	267	0	0	0	14	0	2
fsh-generated/resources/CodeSystem-fr-document-type.json	6919	24	0	0	0	0	1	0	1	34	0	0	1	0	0	0	0	0	0	0	38	2240	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-fr-editorial-status.json	806	27	0	0	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	21	68	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-history-source-type.json	2348	24	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	23	76	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-profile-list.json	768	25	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	22	55	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-discrepancy.json	2466	23	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	17	56	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-outcome.json	1877	23	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-resolution.json	1456	24	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	16	50	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-status.json	2109	23	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	16	48	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-fr-medication-reconciliation-type.json	1217	26	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	14	47	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medication-ingredient-strength-codes.json	1014	31	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	13	42	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-TypoComposant-conceptmap.json	3684	31	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	17	27	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-gender-conceptmap.json	1919	31	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	14	22	0	1	0	0	0	0
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-dosageinstruction-conceptmap.json	17121	31	0	0	0	0	0	0	1	235	0	0	0	0	0	0	0	1	0	0	48	36	0	0	0	3	0	1
fsh-generated/resources/ConceptMap-PN13-FHIR-prescmed-encounter-conceptmap.json	1653	23	0	0	0	0	0	0	1	238	0	0	0	0	0	0	0	0	0	0	16	22	0	0	0	0	0	0
